Spcode	Cover
DACGLO	4
DACGLO	2
DAUCAR	3
DAUCAR	4
FESRUB	3
GALVER	2
GALVER	2
GALVER	2.5
GALVER	1
GALVER	3
GALVER	1.5
GALVER	1
GALVER	1
LOLPER	2
PLALAN	2
PLALAN	2
PLALAN	1
PLALAN	2
POAPoilu	1
POAPoilu	0.5
POAPoilu	1
POAPoilu	1
SALPRA	1
SONCHUS	1
TAROFF	0.5
TRIPRA	0.5
TRIPRA	2
TRIPRA	3
TRIPRA	1
TRIPRA	3
ARRELA	1
ARRELA	1
ARRELA	1
ARRELA	2
BROERE	2
BROERE	2
BROERE	1
BROERE	3
BROERE	3.5
CENJAC	1
CONARV	0.5
CONARV	0.5
CONARV	1
CONARV	1
CONARV	2
CONARV	1
CRESp	0.5
DACGLO	1
DACGLO	2.5
DACGLO	1
DAUCAR	1.5
DAUCAR	1
DAUCAR	3
DAUCAR	1
DAUCAR	1
ELYREP	1
ELYREP	1
ERYNGE	0.5
ERYNGE	1
ERYNGE	1
ERYNGE	2
ERYNGE	0.5
ERYNGE	2
FESARU	2
FESARU	1
FESARU	1.5
GALVER	1
GALVER	1
GALVER	2
GALVER	2.5
GALVER	2
GALVER	2
GALVER	2.5
LOLPER	1
PLALAN	1.5
PLALAN	1
PLALAN	4
PLALAN	1
POAPoilu	1
POAPoilu	1
POAPoilu	1
POAPRA	1
POAPRA	1
POATRI	1
POATRI	1
RUMACE	1
SALPRA	1
TRIPRA	2
TRIPRA	2.5
TRIPRA	3
TRIPRA	2
ARRELA	1.5
ARRELA	2.5
BROERE	1
BROERE	2
BROERE	3
BROERE	2
BROERE	4
BROERE	2
BROERE	3
CENJAC	0.5
CENJAC	1
CONARV	1
CONARV	1
DACGLO	2
DACGLO	2
DACGLO	2
DACGLO	1
DACGLO	1
DACGLO	1
DAUCAR	1.5
DAUCAR	2.5
FESRUB	0.5
GALVER	1
GALVER	1
GALVER	1
GALVER	1
GALVER	2
GALVER	1
GALVER	1
GALVER	1
LEUVUL	1
PLALAN	1.5
PLALAN	2.5
POAANG	1
POAANG	1
POAANG	1
POAANG	1
POAPRA	1
SALPRA	0.5
SALPRA	0.5
SONCHUS	1
TRIPRA	2.5
ARRELA	1
ARRELA	1.5
BROERE	1.5
BROERE	1.5
BROERE	0.5
BROERE	2
BROERE	2
CENJAC	2
CENJAC	1
CENJAC	2
CENJAC	2
CONARV	1
CONARV	0.5
CONARV	1
CONARV	1
DACGLO	2
DACGLO	1
DACGLO	1
DACGLO	1.5
DACGLO	1.5
DACGLO	1.5
DACGLO	1
DACGLO	2
DAUCAR	0.5
DAUCAR	0.5
DAUCAR	1
ERYNGE	1.5
ERYNGE	1
ERYNGE	1
ERYNGE	1
LEUVUL	1.5
LEUVUL	1
PICHIE	2
PICHIE	2
PICHIE	3
PICHIE	1
PLALAN	1.5
PLALAN	2
PLALAN	1
PLALAN	2
PLALAN	1.5
POAANG	1
POAANG	1
POAANG	1
POAANG	1
POAANG	1
POAANG	1
SALPRA	1
SONCHUS	0.5
TAROFF	1
TAROFF	1.5
TAROFF	2
TAROFF	2
TAROFF	2
TAROFF	1.5
TAROFF	1
TAROFF	2
TRIPRA	3
ARRELA	2
ARRELA	2
ARRELA	2
ARRELA	1.5
ARRELA	1
ARRELA	2
ARRELA	3
ARRELA	1
BROERE	1
BROERE	1.5
BROERE	2
BROERE	1
BROERE	2
BROERE	2
BROERE	2
CENJAC	1
CENJAC	1
CONARV	1
CONARV	1.5
CONARV	1
CONARV	1
CONARV	0.5
CONARV	2
CONARV	1
CONARV	1
DACGLO	2
DACGLO	1.5
DACGLO	1
DACGLO	1
DACGLO	2
DACGLO	1
DACGLO	0.5
DAUCAR	0.5
DAUCAR	1
DAUCAR	0.5
DAUCAR	1
DAUCAR	0.5
GALVER	2
GALVER	2
GALVER	1
GALVER	1
GALVER	0.5
GALVER	2
PICHIE	1
PICHIE	2
PLALAN	1.5
PLALAN	3
PLALAN	1.5
PLALAN	1
PLALAN	1
POAANG	1
POAANG	1
POAANG	1
POAANG	1
POAANG	1
SALPRA	1
SALPRA	2
SALPRA	1
SALPRA	1.5
SONCHUS	1
SONCHUS	1
TAROFF	1
TAROFF	1.5
TRIPRA	0.5
TRIPRA	1
TRIPRA	0.5
TRIPRA	2
TRIPRA	2.5
VERBOF	1.5
ARRELA	3
ARRELA	2
ARRELA	2
ARRELA	2.5
ARRELA	2
ARRELA	3
ARRELA	2
BROERE	2
BROERE	2
CONARV	1
CONARV	1
CONARV	1
CONARV	1
DACGLO	1
DACGLO	1
DACGLO	1
DACGLO	1
DACGLO	1
DAUCAR	1
GALVER	1
GALVER	1
GALVER	1
GERROT	1
LOLPER	1.5
LOTCOR	1
LOTCOR	1
LOTCOR	2
LOTCOR	3
LOTCOR	2
LOTCOR	3
LOTCOR	2
LOTCOR	3
MEDAR	1
MEDAR	1
PLALAN	2
PLALAN	2
PLALAN	1
PLALAN	1
PLALAN	3
PLALAN	1
POAANG	1.5
POAANG	1
POAANG	1
POAANG	1
POAPRA	1
POASp	1
POASp	1
POTREP	1
RUMACE	1
